N,CPU,GPU_8,GPU_16,GPU_32
128,0.00010858,0.0012192,1.4912e-07,4.096e-08
256,0.00049778,5.056e-08,4.992e-08,5.12e-08
512,0.00189116,5.12e-08,5.184e-08,5.12e-08
768,0.00434582,5.056e-08,5.056e-08,5.056e-08
1024,0.00781048,5.184e-08,5.184e-08,5.056e-08
1536,0.0189098,5.12e-08,4.992e-08,5.12e-08
2048,0.0309777,5.12e-08,5.12e-08,4.992e-08
2560,0.0637278,6.144e-08,6.208e-08,5.952e-08
3072,0.069746,6.016e-08,5.952e-08,6.016e-08
4096,0.128007,6.144e-08,6.08e-08,6.016e-08
8192,0.53805,6.016e-08,6.016e-08,5.952e-08
16384,2.18339,6.08e-08,6.272e-08,6.08e-08
